time,ahu_reaPFanRet_y,ahu_reaPFanSup_y,reaPEle_y,reaPFan_y,reaPPum_y
1530780,8.428772686914586e-163,8.428772687377139e-163,205.31062238029617,1.6857545374291724e-162,205.31062238029617
1530810,1.6945040580711617e-163,1.6945040581646352e-163,205.31062238029617,3.3890081162357966e-163,205.31062238029617
1530840,-1.1682776600121199e-167,-1.1682776600761578e-167,205.31062238029617,-2.3365553200882777e-167,205.31062238029617
1530870,-2.2187988799093406e-166,-2.218798880032118e-166,205.31062238029617,-4.437597759941458e-166,205.31062238029617
1530900,1.00663176156495e-170,1.0066317616204129e-170,205.31062238029617,2.013263523185363e-170,205.31062238029617
1530930,-3.0242012046909437e-175,-3.024201204857962e-175,205.31062238029617,-6.048402409548906e-175,205.31062238029617
1530960,-6.661116275265385e-181,-6.66111627563993e-181,205.31062238029617,-1.3322232550905316e-180,205.31062238029617
1530990,-9.519248030642857e-182,-9.519248031160352e-182,205.31062238029617,-1.9038496061803207e-181,205.31062238029617
1531020,-5.160531466664095e-181,-5.160531466949878e-181,205.31062238029617,-1.0321062933613973e-180,205.31062238029617
1531050,7.643540700930537e-184,7.643540701349758e-184,205.31062238029617,1.5287081402280295e-183,205.31062238029617
1531080,1.1268624830569051e-183,1.1268624831192905e-183,205.31062238029617,2.2537249661761956e-183,205.31062238029617
1531110,5.660332589161683e-189,5.6603325894854316e-189,205.31062238029617,1.1320665178647114e-188,205.31062238029617
1531140,-1.9453776548709054e-186,-1.9453776549788353e-186,205.31062238029617,-3.890755309849741e-186,205.31062238029617
1531170,-1.7963639002109265e-190,-1.7963639003125264e-190,205.31062238029617,-3.5927278005234527e-190,205.31062238029617
1531200,6.1241741532869355e-189,6.12417415362688e-189,205.31062238029617,1.2248348306913815e-188,205.31062238029617
1531230,1.1487976535998254e-191,1.148797653664294e-191,205.31062238029617,2.2975953072641196e-191,205.31062238029617
1531260,-1.2831819579689871e-191,-1.283181958040199e-191,205.31062238029617,-2.566363916009186e-191,205.31062238029617
1531290,-8.949265633624617e-194,-8.949265634126408e-194,205.31062238029617,-1.7898531267751025e-193,205.31062238029617
1531320,2.789822461328169e-194,2.789822461483011e-194,205.31062238029617,5.57964492281118e-194,205.31062238029617
1531350,5.734483640664084e-196,5.734483640985393e-196,205.31062238029617,1.1468967281649477e-195,205.31062238029617
1531380,-4.9943915606813066e-197,-4.99439156095824e-197,205.31062238029617,-9.988783121639546e-197,205.31062238029617
1531410,-2.6907062157708576e-198,-2.690706215921711e-198,205.31062238029617,-5.381412431692568e-198,205.31062238029617
1531440,7.824779135311984e-200,7.824779135744456e-200,205.31062238029617,1.564955827105644e-199,205.31062238029617
1531470,1.098829416749899e-200,1.0988294168115002e-200,205.31062238029617,2.197658833561399e-200,205.31062238029617
1531500,-9.412963369961497e-203,-9.412963370480773e-203,205.31062238029617,-1.882592674044227e-202,205.31062238029617
1531530,-3.9233269988818895e-203,-3.923326999101926e-203,205.31062238029617,-7.846653997983815e-203,205.31062238029617
1531560,7.375586253430124e-206,7.375586253832724e-206,205.31062238029617,1.4751172507262847e-205,205.31062238029617
1531590,1.2668416073850242e-205,1.2668416074560185e-205,205.31062238029617,2.5336832148410427e-205,205.31062238029617
1531620,-1.855044576205208e-209,-1.8550445763016537e-209,205.31062238029617,-3.7100891525068613e-209,205.31062238029617
1531650,-3.721218026590618e-208,-3.7212180267989976e-208,205.31062238029617,-7.442436053389616e-208,205.31062238029617
1531680,-7.255549675833973e-214,-7.255549676375594e-214,205.31062238029617,-1.4511099352209568e-213,205.31062238029617
1531710,1.0008640504095661e-210,1.0008640504655824e-210,205.31062238029617,2.0017281008751485e-210,205.31062238029617
1531740,4.494333216328651e-214,4.494333216594803e-214,205.31062238029617,8.988666432923455e-214,205.31062238029617
1531770,-2.46009127517844e-213,-2.4600912753159764e-213,205.31062238029617,-4.9201825504944164e-213,205.31062238029617
1531800,-6.323791277638477e-217,-6.323791277999878e-217,205.31062238029617,-1.2647582555638356e-216,205.31062238029617
1531830,2.7462118169178944e-222,2.7462118170750526e-222,205.31062238029617,5.492423633992947e-222,205.31062238029617
1531860,6.865883008957644e-224,6.865883009353362e-224,205.31062238029617,1.3731766018311006e-223,205.31062238029617
1531890,-7.846242396584484e-230,-7.846242397015392e-230,205.31062238029617,-1.5692484793599875e-229,205.31062238029617
1531920,-7.407803179902335e-230,-7.407803180332699e-230,205.31062238029617,-1.4815606360235034e-229,205.31062238029617
1531950,2.4555670323621204e-230,2.4555670325036767e-230,205.31062238029617,4.9111340648657975e-230,205.31062238029617
1531980,3.671177539475187e-229,3.671177539686528e-229,205.31062238029617,7.342355079161715e-229,205.31062238029617
1532010,3.531852230544835e-231,3.5318522307494504e-231,205.31062238029617,7.063704461294285e-231,205.31062238029617
1532040,4.129427662239358e-239,4.129427662428415e-239,205.31062238029617,8.258855324667774e-239,205.31062238029617
1532070,-7.855153955477531e-233,-7.85515395592921e-233,205.31062238029617,-1.571030791140674e-232,205.31062238029617
1532100,-7.463147897471263e-238,-7.463147897939393e-238,205.31062238029617,-1.4926295795410656e-237,205.31062238029617
1532130,5.714622481239969e-236,5.714622481571439e-236,205.31062238029617,1.1429244962811408e-235,205.31062238029617
1532160,5.716650098490482e-236,5.716650098819107e-236,205.31062238029617,1.143330019730959e-235,205.31062238029617
1532190,-1.5875022153278226e-239,-1.587502215416242e-239,205.31062238029617,-3.1750044307440643e-239,205.31062238029617
1532220,-4.373342347844614e-239,-4.373342348099025e-239,205.31062238029617,-8.74668469594364e-239,205.31062238029617
1532250,-1.4630103029451964e-239,-1.4630103030291066e-239,205.31062238029617,-2.926020605974303e-239,205.31062238029617
1532280,3.1243395545142704e-241,3.124339554692277e-241,205.31062238029617,6.248679109206548e-241,205.31062238029617
1532310,3.550081906086976e-242,3.5500819062939674e-242,205.31062238029617,7.100163812380944e-242,205.31062238029617
1532340,3.290030389424136e-243,3.2900303896119196e-243,205.31062238029617,6.580060779036056e-243,205.31062238029617
1532370,-5.344754005034906e-244,-5.344754005340145e-244,205.31062238029617,-1.068950801037505e-243,205.31062238029617
1532400,-1.160421168558086e-245,-1.1604211686261615e-245,205.31062238029617,-2.3208423371842476e-245,205.31062238029617
1532430,-4.220345656419029e-247,-4.220345656656353e-247,205.31062238029617,-8.440691313075382e-247,205.31062238029617
1532460,2.1125636148516695e-248,2.112563614975588e-248,205.31062238029617,4.2251272298272576e-248,205.31062238029617
1532490,4.865068346256836e-251,4.865068346528188e-251,205.31062238029617,9.730136692785023e-251,205.31062238029617
1532520,-1.9130434193642615e-250,-1.913043419475666e-250,205.31062238029617,-3.826086838839928e-250,205.31062238029617
1532550,-2.779889005840711e-252,-2.7798890059994867e-252,205.31062238029617,-5.5597780118401975e-252,205.31062238029617
1532580,2.0074123431811073e-253,2.007412343298954e-253,205.31062238029617,4.0148246864800617e-253,205.31062238029617
1532610,8.226766921309777e-255,8.226766921782847e-255,205.31062238029617,1.6453533843092624e-254,205.31062238029617
1532640,-4.55519049364165e-256,-4.5551904939095776e-256,205.31062238029617,-9.110380987551228e-256,205.31062238029617
1532670,-4.334897806818223e-257,-4.334897807068688e-257,205.31062238029617,-8.669795613886911e-257,205.31062238029617
1532700,1.9796128064871882e-261,1.9796128065989988e-261,205.31062238029617,3.959225613086187e-261,205.31062238029617
1532730,-2.9868579894978856e-266,-2.986857989666623e-266,205.31062238029617,-5.973715979164508e-266,205.31062238029617
