time,oveTSet_u,reaTZon_y
1970-01-24 08:28:00,288.15,293.85972721762
1970-01-24 08:28:30,288.15,293.85561453674444
1970-01-24 08:29:00,288.15,293.8514921700157
1970-01-24 08:29:30,288.15,293.8473592485817
1970-01-24 08:30:00,288.15,293.8432149727612
1970-01-24 08:30:30,288.15,293.8390586262361
1970-01-24 08:31:00,288.15,293.8348895874549
1970-01-24 08:31:30,288.15,293.8307073347263
1970-01-24 08:32:00,288.15,293.8265114470956
1970-01-24 08:32:30,288.15,293.8223016022537
1970-01-24 08:33:00,288.15,293.81807757393653
1970-01-24 08:33:30,288.15,293.8138392281387
1970-01-24 08:34:00,288.15,293.809586518571
1970-01-24 08:34:30,288.15,293.8053194816887
1970-01-24 08:35:00,288.15,293.80103823152047
1970-01-24 08:35:30,288.15,293.79674295445363
1970-01-24 08:36:00,288.15,293.79243390409
1970-01-24 08:36:30,288.15,293.7881113962475
1970-01-24 08:37:00,288.15,293.7837758041653
1970-01-24 08:37:30,288.15,293.77942755394827
1970-01-24 08:38:00,288.15,293.7750671202753
1970-01-24 08:38:30,288.15,293.77069502238584
1970-01-24 08:39:00,288.15,293.76631182034976
1970-01-24 08:39:30,288.15,293.7619181116195
1970-01-24 08:40:00,288.15,293.75751452785744
1970-01-24 08:40:30,288.15,293.75310173202877
1970-01-24 08:41:00,288.15,293.74868041574365
1970-01-24 08:41:30,288.15,293.7442512968313
1970-01-24 08:42:00,288.15,293.7398151171257
1970-01-24 08:42:30,288.15,293.735372640439
1970-01-24 08:43:00,288.15,293.7309246506986
1970-01-24 08:43:30,288.15,293.72647195022216
1970-01-24 08:44:00,288.15,293.7220153581022
1970-01-24 08:44:30,288.15,293.7175557086732
1970-01-24 08:45:00,288.15,293.7130938500336
1970-01-24 08:45:30,288.15,293.7086306425972
1970-01-24 08:46:00,288.15,293.7041669576482
1970-01-24 08:46:30,288.15,293.69970367588144
1970-01-24 08:47:00,288.15,293.69524168590726
1970-01-24 08:47:30,288.15,293.69078188271476
1970-01-24 08:48:00,288.15,293.6863251660847
1970-01-24 08:48:30,288.15,293.6818724389577
1970-01-24 08:49:00,288.15,293.677424605769
1970-01-24 08:49:30,288.15,293.67298257076897
1970-01-24 08:50:00,288.15,293.668547236359
1970-01-24 08:50:30,288.15,293.6641195014775
1970-01-24 08:51:00,288.15,293.65970026007653
1970-01-24 08:51:30,288.15,293.65529039973524
1970-01-24 08:52:00,288.15,293.6508908004519
1970-01-24 08:52:30,288.15,293.64650233365717
1970-01-24 08:53:00,288.15,293.6421258614811
1970-01-24 08:53:30,288.15,293.63776223629895
1970-01-24 08:54:00,288.15,293.633412300565
1970-01-24 08:54:30,288.15,293.62907688692906
1970-01-24 08:55:00,288.15,293.6247568186164
1970-01-24 08:55:30,288.15,293.6204529100337
1970-01-24 08:56:00,288.15,293.6161659675541
1970-01-24 08:56:30,288.15,293.611896790423
1970-01-24 08:57:00,288.15,293.6076461717263
1970-01-24 08:57:30,288.15,293.6034148993614
1970-01-24 08:58:00,288.15,293.59920375696055
1970-01-24 08:58:30,288.15,293.5950135247284
1970-01-24 08:59:00,288.15,293.5908449801674
1970-01-24 08:59:30,288.15,293.5866988986812
1970-01-24 09:00:00,288.15,293.58257605405805
1970-01-24 09:00:30,288.15,293.5784805074081
1970-01-24 09:01:00,288.15,293.57440492495095
1970-01-24 09:01:30,288.15,293.5703519111129
1970-01-24 09:02:00,288.15,293.56632125999323
1970-01-24 09:02:30,288.15,293.5623126126311
1970-01-24 09:03:00,288.15,293.5583255788255
1970-01-24 09:03:30,288.15,293.5543597743825
1970-01-24 09:04:00,288.15,293.55041483199545
1970-01-24 09:04:30,288.15,293.546490403367
1970-01-24 09:05:00,288.15,293.54258615853286
1970-01-24 09:05:30,288.15,293.53870178439706
1970-01-24 09:06:00,288.15,293.5348369831428
1970-01-24 09:06:30,288.15,293.53099147072834
1970-01-24 09:07:00,288.15,293.52716497552444
1970-01-24 09:07:30,288.15,293.52335723709854
1970-01-24 09:08:00,288.15,293.5195680051344
1970-01-24 09:08:30,288.15,293.5157970384739
1970-01-24 09:09:00,288.15,293.51204410426567
1970-01-24 09:09:30,288.15,293.508308977207
1970-01-24 09:10:00,288.15,293.50459143886826
1970-01-24 09:10:30,288.15,293.50089127708895
1970-01-24 09:11:00,288.15,293.4972082854355
1970-01-24 09:11:30,288.15,293.4935422627143
1970-01-24 09:12:00,288.15,293.4898930125322
1970-01-24 09:12:30,288.15,293.48626034289975
1970-01-24 09:13:00,288.15,293.4826440658701
1970-01-24 09:13:30,288.15,293.47904399721136
1970-01-24 09:14:00,288.15,293.475459956107
1970-01-24 09:14:30,288.15,293.47189176488183
1970-01-24 09:15:00,288.15,293.4683392487503
1970-01-24 09:15:30,288.15,293.46480223558484
1970-01-24 09:16:00,288.15,293.46128055570205
1970-01-24 09:16:30,288.15,293.4577740416647
1970-01-24 09:17:00,288.15,293.4542825280986
